Offene Einzelposten Debitoren (Auszug lfd. Jahr);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4
100054;CIVES ETIKETTEN SE;AR501875;13.12.2025;44891.56
100011;BOREAS BESCHICHTUNG E.K.;AR501876;11.12.2025;27810.3
100099;VEGA CHEMIE KG;AR501877;06.12.2025;2999
100075;FALKE ETIKETTEN E.K.;AR501879;23.12.2025;5486
100158;WEST SYSTEME AG;AR501881;30.12.2025;33399.73
100073;KRANICH MASCHINEN AG;AR501882;22.12.2025;3320.1
100067;NOVA DRUCK GMBH;AR501883;14.12.2025;28795.62
100054;CIVES ETIKETTEN SE;AR501884;21.12.2025;8340.71
100068;VEGA ETIKETTEN KG;AR501885;18.12.2025;14454.93
100081;ADLER RECYCLING GMBH;AR501886;10.12.2025;63787.57
100082;NORD PAPIER KG;AR501887;20.12.2025;30629.41
100045;HELIOS DRUCK GMBH;AR501888;17.12.2025;5434.73
100159;MERKUR DRUCK AG;AR501889;08.12.2025;17387.09
100048;ATLAS ETIKETTEN GMBH & CO. KG;AR501890;15.12.2025;8583.47
100087;SOLUM VERPACKUNG GMBH;AR501891;19.12.2025;59797.5
100112;WEST CHEMIE GMBH & CO. KG;AR501893;22.12.2025;21370
100117;ATLAS HANDEL E.K.;AR501894;22.12.2025;42699.58
100087;SOLUM VERPACKUNG GMBH;AR501895;11.12.2025;43500.45
100085;WEST LOGISTIK GMBH;AR501896;13.12.2025;7589.82
100131;WEST FORMTEILE GMBH;AR501897;12.12.2025;6537.86
100105;WEST SYSTEME GMBH & CO. KG;AR501898;07.12.2025;1549.38
100154;CIVES WERKSTOFFE E.K.;AR501900;04.12.2025;38694.04
100134;SOLUM TRANSPORT E.K.;AR501901;29.12.2025;12580.68
100063;MERKUR DRUCK SE;AR501902;09.12.2025;2340.73
100145;ATLAS RECYCLING SE;AR501903;09.12.2025;2045.61
100115;BOREAS KUNSTSTOFF KG;AR501904;18.12.2025;15239.14
100113;MERKUR RECYCLING E.K.;AR501905;18.12.2025;8188.39
100024;KRANICH HANDEL GMBH;AR501906;27.12.2025;59941.49
100029;PRISMA WERKSTOFFE SE;AR501907;07.12.2025;3578.33
100137;PRISMA DISTRIBUTION GMBH;AR501908;26.12.2025;26673.85
100022;WEST INDUSTRIEBEDARF GMBH;AR501909;31.12.2025;29313.27
100047;ADLER KARTON KG;AR501910;28.12.2025;52469.48
100078;FALKE SYSTEME GMBH;AR501911;08.12.2025;1729.07
100068;VEGA ETIKETTEN KG;AR501912;14.12.2025;54200.93
100119;TITAN WERKSTOFFE GMBH & CO. KG;AR501913;10.12.2025;5590.62
100130;TITAN DISTRIBUTION GMBH;AR501916;04.12.2025;54058.13
100093;TERRA RECYCLING GMBH;AR501917;31.12.2025;30141.51
100153;KRONOS INDUSTRIEBEDARF E.K.;AR501918;08.12.2025;31398.15
100108;ATLAS MASCHINEN AG;AR501919;15.12.2025;7326.83
100046;SÜD KUNSTSTOFF KG;AR501920;09.12.2025;41367.97
100018;SOLUM RECYCLING AG;AR501921;28.12.2025;45260.46
100078;FALKE SYSTEME GMBH;AR501923;29.12.2025;14074.13
100057;CORVUS FORMTEILE GMBH;AR501924;11.12.2025;2804.83
100095;KRONOS MASCHINEN SE;AR501925;09.12.2025;40426.68
100099;VEGA CHEMIE KG;AR501926;17.12.2025;43366
100026;IRIS KUNSTSTOFF E.K.;AR501927;04.12.2025;57503.18
100054;CIVES ETIKETTEN SE;AR501928;30.12.2025;24321.22
100046;SÜD KUNSTSTOFF KG;AR501929;06.12.2025;53056.15
100132;CORVUS CHEMIE KG;AR501930;30.12.2025;12379.57
100008;FALKE CHEMIE KG;AR501931;25.12.2025;40357.66
100101;WEST KARTON GMBH;AR501932;06.12.2025;26345.41
100025;LUPUS CHEMIE AG;AR501933;19.12.2025;59934.35
100031;RATIO PAPIER KG;AR501934;30.12.2025;23792.86
100048;ATLAS ETIKETTEN GMBH & CO. KG;AR501935;18.12.2025;8197.91
100109;SOLUM KARTON GMBH & CO. KG;AR501936;05.12.2025;43449.28
100050;OST CHEMIE GMBH;AR501937;31.12.2025;42316.4
100061;TERRA KARTON E.K.;AR501938;26.12.2025;32720.24
100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;AR501939;21.12.2025;4865.91
100001;FOKUS KUNSTSTOFF GMBH;AR501940;14.12.2025;7601.72
100056;NORD WERKSTOFFE SE;AR501941;06.12.2025;39462.78
100093;TERRA RECYCLING GMBH;AR501942;29.12.2025;23040.78
100145;ATLAS RECYCLING SE;AR501943;21.12.2025;34089.93
100113;MERKUR RECYCLING E.K.;AR501944;12.12.2025;55969.27
100082;NORD PAPIER KG;AR501945;26.12.2025;63632.87
100057;CORVUS FORMTEILE GMBH;AR501947;22.12.2025;4881.38
100058;VEGA ETIKETTEN GMBH & CO. KG;AR501948;15.12.2025;4535.09
100136;KRANICH LOGISTIK GMBH;AR501949;19.12.2025;8825.04
100139;RATIO BESCHICHTUNG KG;AR501950;25.12.2025;4420.85
100037;PACTUM TECHNIK GMBH;AR501951;18.12.2025;58612.26
100086;HELIOS FOLIEN GMBH & CO. KG;AR501953;13.12.2025;40596.85
100147;NOVA BESCHICHTUNG KG;AR501954;05.12.2025;15158.22
100046;SÜD KUNSTSTOFF KG;AR501955;04.12.2025;19700.45
100015;OST WERKSTOFFE AG;AR501956;17.12.2025;2039.66
100113;MERKUR RECYCLING E.K.;AR501957;12.12.2025;4644.57
100111;PACTUM RECYCLING E.K.;AR501958;20.12.2025;25018.56
100139;RATIO BESCHICHTUNG KG;AR501959;19.12.2025;23397.78
100095;KRONOS MASCHINEN SE;AR501960;06.12.2025;27483.05
100114;ATLAS CHEMIE GMBH;AR501961;23.12.2025;36512.77
100158;WEST SYSTEME AG;AR501962;28.12.2025;58041.06
100113;MERKUR RECYCLING E.K.;AR501963;14.12.2025;23433.48
100150;SÜD RECYCLING GMBH;AR501964;29.12.2025;27260.52
100127;TERRA TECHNIK KG;AR501965;23.12.2025;14020.58
100106;ALPHA RECYCLING AG;AR501966;27.12.2025;23988.02
100029;PRISMA WERKSTOFFE SE;AR501967;08.12.2025;18973.36
100058;VEGA ETIKETTEN GMBH & CO. KG;AR501968;11.12.2025;30697.24
100077;KRANICH FORMTEILE E.K.;AR501969;25.12.2025;19740.91
100087;SOLUM VERPACKUNG GMBH;AR501971;04.12.2025;18124.89
100149;RATIO DISTRIBUTION GMBH;AR501975;14.12.2025;19139.96
100021;HELIOS RECYCLING GMBH;AR501977;24.12.2025;36535.38
100067;NOVA DRUCK GMBH;AR501978;22.12.2025;16113.79
100091;RATIO RECYCLING AG;AR501979;08.12.2025;56098.98
