WARENAUSGANG_NR;WARENAUSGANG_DATUM;RECHNUNGSNUMMER;DEBITOR;DEBITORNAME;BETRAG_EUR;LAGERORT
WA300050;28.01.2025;AR500050;100141;SOLUM TRANSPORT KG;52081,00;Werk Musterhausen
WA300051;14.01.2025;AR500051;100021;HELIOS RECYCLING GMBH;35709,00;Werk Musterhausen
WA300052;25.01.2025;AR500052;100069;HELIOS WERKSTOFFE GMBH;3185,00;Werk Musterhausen
WA300053;07.01.2025;AR500053;100002;FOKUS DRUCK SE;48142,00;Werk Musterhausen
WA300054;26.01.2025;AR500054;100134;SOLUM TRANSPORT E.K.;46558,00;Werk Musterhausen
WA300055;12.01.2025;AR500055;100039;IRIS TECHNIK GMBH;48227,00;Werk Musterhausen
WA300056;04.01.2025;AR500056;100016;MERKUR WERKSTOFFE SE;19992,00;Werk Musterhausen
WA300057;22.01.2025;AR500057;100058;VEGA ETIKETTEN GMBH & CO. KG;41234,00;Werk Musterhausen
WA300058;11.01.2025;AR500058;100110;RATIO RECYCLING E.K.;616,00;Werk Musterhausen
WA300059;21.01.2025;AR500059;100046;SÜD KUNSTSTOFF KG;38125,00;Werk Musterhausen
WA300060;22.01.2025;AR500060;100138;ALPHA FOLIEN GMBH;27939,00;Werk Musterhausen
WA300061;23.01.2025;AR500061;100059;FOKUS RECYCLING GMBH & CO. KG;39699,00;Werk Musterhausen
WA300062;24.01.2025;AR500062;100014;ALPHA HANDEL GMBH;8167,00;Werk Musterhausen
WA300063;22.01.2025;AR500063;100001;FOKUS KUNSTSTOFF GMBH;20938,00;Werk Musterhausen
WA300064;23.01.2025;AR500064;100156;KRANICH PAPIER GMBH & CO. KG;22535,00;Werk Musterhausen
WA300065;25.01.2025;AR500065;100034;BOREAS PAPIER GMBH;34555,00;Werk Musterhausen
WA300066;05.01.2025;AR500066;100065;ATLAS ETIKETTEN E.K.;9504,00;Werk Musterhausen
WA300067;10.01.2025;AR500067;100038;SATURN MASCHINEN GMBH;52661,00;Werk Musterhausen
WA300068;30.01.2025;AR500068;100152;NORD WERKSTOFFE GMBH;12819,00;Werk Musterhausen
WA300069;02.01.2025;AR500069;100069;HELIOS WERKSTOFFE GMBH;41919,00;Werk Musterhausen
WA300070;08.01.2025;AR500070;100138;ALPHA FOLIEN GMBH;19942,00;Werk Musterhausen
WA300071;10.01.2025;AR500071;100125;AURORA HANDEL GMBH;51268,00;Werk Musterhausen
WA300072;30.01.2025;AR500072;100135;PACTUM KARTON E.K.;45009,00;Werk Musterhausen
WA300073;28.01.2025;AR500073;100043;DELTA BESCHICHTUNG GMBH & CO. KG;3047,00;Werk Musterhausen
WA300074;01.01.2025;AR500074;100076;PACTUM LOGISTIK SE;14589,00;Werk Musterhausen
WA300075;21.01.2025;AR500075;100065;ATLAS ETIKETTEN E.K.;10579,00;Werk Musterhausen
WA300076;24.01.2025;AR500076;100010;FOKUS TECHNIK GMBH;13431,00;Werk Musterhausen
WA300077;20.01.2025;AR500077;100128;RATIO INDUSTRIEBEDARF AG;27074,00;Werk Musterhausen
WA300078;29.01.2025;AR500078;100158;WEST SYSTEME AG;33761,00;Werk Musterhausen
WA300079;17.01.2025;AR500079;100055;ADLER DRUCK KG;28512,00;Werk Musterhausen
WA300080;18.01.2025;AR500080;100019;POLLUX SYSTEME GMBH;21010,00;Werk Musterhausen
WA300081;19.01.2025;AR500081;100055;ADLER DRUCK KG;50691,00;Werk Musterhausen
WA300082;09.01.2025;AR500082;100047;ADLER KARTON KG;12303,00;Werk Musterhausen
WA300083;17.01.2025;AR500083;100149;RATIO DISTRIBUTION GMBH;28059,00;Werk Musterhausen
WA300084;21.01.2025;AR500084;100128;RATIO INDUSTRIEBEDARF AG;4338,00;Werk Musterhausen
WA300085;24.01.2025;AR500085;100103;IRIS MASCHINEN AG;54868,00;Werk Musterhausen
WA300086;29.01.2025;AR500086;100031;RATIO PAPIER KG;39126,00;Werk Musterhausen
WA300087;14.01.2025;AR500087;100004;PRISMA SYSTEME AG;42061,00;Werk Musterhausen
WA300088;09.01.2025;AR500088;100081;ADLER RECYCLING GMBH;38332,00;Werk Musterhausen
WA300089;07.01.2025;AR500089;100120;WEST TECHNIK SE;10114,00;Werk Musterhausen
WA300090;26.01.2025;AR500090;100102;CASTOR FORMTEILE GMBH;51057,00;Werk Musterhausen
WA300091;30.01.2025;AR500091;100055;ADLER DRUCK KG;44829,00;Werk Musterhausen
WA300092;31.01.2025;AR500092;100072;IRIS LOGISTIK E.K.;22704,00;Werk Musterhausen
WA300093;07.01.2025;AR500093;100143;NOVA WERKSTOFFE KG;19637,00;Werk Musterhausen
WA300094;25.01.2025;AR500094;100121;FALKE WERKSTOFFE GMBH;11053,00;Werk Musterhausen
WA300095;23.01.2025;AR500095;100141;SOLUM TRANSPORT KG;34805,00;Werk Musterhausen
WA300096;16.01.2025;AR500096;100066;SOLUM PAPIER GMBH;50314,00;Werk Musterhausen
WA300097;01.01.2025;AR500097;100098;PACTUM FOLIEN AG;29899,00;Werk Musterhausen
WA300098;24.01.2025;AR500098;100143;NOVA WERKSTOFFE KG;8953,00;Werk Musterhausen
WA300099;20.01.2025;AR500099;100093;TERRA RECYCLING GMBH;45679,00;Werk Musterhausen
WA300100;04.01.2025;AR500100;100030;PRISMA ETIKETTEN AG;51199,00;Werk Musterhausen
WA300101;11.01.2025;AR500101;100053;REIHER LOGISTIK GMBH;16236,00;Werk Musterhausen
WA300102;22.01.2025;AR500102;100117;ATLAS HANDEL E.K.;29650,00;Werk Musterhausen
WA300103;18.01.2025;AR500103;100012;ATLAS FORMTEILE SE;3347,00;Werk Musterhausen
WA300104;08.01.2025;AR500104;100096;ALPHA SYSTEME E.K.;20828,00;Werk Musterhausen
WA300105;05.01.2025;AR500105;100020;ADLER TRANSPORT GMBH;34890,00;Werk Musterhausen
WA300106;25.01.2025;AR500106;100056;NORD WERKSTOFFE SE;14453,00;Werk Musterhausen
WA300107;18.01.2025;AR500107;100150;SÜD RECYCLING GMBH;25412,00;Werk Musterhausen
WA300108;06.01.2025;AR500108;100077;KRANICH FORMTEILE E.K.;54866,00;Werk Musterhausen
WA300109;28.01.2025;AR500109;100051;PACTUM DISTRIBUTION KG;12105,00;Werk Musterhausen
WA300110;31.01.2025;AR500110;100047;ADLER KARTON KG;31276,00;Werk Musterhausen
WA300111;08.01.2025;AR500111;100105;WEST SYSTEME GMBH & CO. KG;39132,00;Werk Musterhausen
WA300112;31.01.2025;AR500112;100107;CASTOR VERPACKUNG AG;2946,00;Werk Musterhausen
WA300113;18.01.2025;AR500113;100060;ATLAS FOLIEN GMBH & CO. KG;36057,00;Werk Musterhausen
WA300114;23.01.2025;AR500114;100016;MERKUR WERKSTOFFE SE;31076,00;Werk Musterhausen
WA300115;29.01.2025;AR500115;100118;LUPUS PAPIER GMBH;39933,00;Werk Musterhausen
WA300116;31.01.2025;AR500116;100028;VEGA FOLIEN GMBH;52075,00;Werk Musterhausen
WA300117;08.01.2025;AR500117;100096;ALPHA SYSTEME E.K.;44846,00;Werk Musterhausen
WA300118;17.01.2025;AR500118;100109;SOLUM KARTON GMBH & CO. KG;44232,00;Werk Musterhausen
WA300119;19.01.2025;AR500119;100108;ATLAS MASCHINEN AG;20111,00;Werk Musterhausen
WA300120;01.01.2025;AR500120;100041;PRISMA HANDEL E.K.;47965,00;Werk Musterhausen
WA300121;10.01.2025;AR500121;100122;FOKUS SYSTEME GMBH;32452,00;Werk Musterhausen
WA300122;15.01.2025;AR500122;100002;FOKUS DRUCK SE;54397,00;Werk Musterhausen
WA300123;02.01.2025;AR500123;100002;FOKUS DRUCK SE;47681,00;Werk Musterhausen
WA300124;30.01.2025;AR500124;100052;ORION TRANSPORT GMBH;54076,00;Werk Musterhausen
WA300125;13.01.2025;AR500125;100133;ADLER FORMTEILE GMBH & CO. KG;18531,00;Werk Musterhausen
WA300126;16.01.2025;AR500126;100153;KRONOS INDUSTRIEBEDARF E.K.;40890,00;Werk Musterhausen
WA300127;24.01.2025;AR500127;100031;RATIO PAPIER KG;8954,00;Werk Musterhausen
WA300128;01.01.2025;AR500128;100001;FOKUS KUNSTSTOFF GMBH;2807,00;Werk Musterhausen
WA300129;21.01.2025;AR500129;100102;CASTOR FORMTEILE GMBH;38586,00;Werk Musterhausen
WA300130;18.01.2025;AR500130;100123;SÜD CHEMIE GMBH & CO. KG;7270,00;Werk Musterhausen
WA300131;21.01.2025;AR500131;100122;FOKUS SYSTEME GMBH;18356,00;Werk Musterhausen
WA300132;12.01.2025;AR500132;100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;49716,00;Werk Musterhausen
WA300133;16.01.2025;AR500133;100026;IRIS KUNSTSTOFF E.K.;26641,00;Werk Musterhausen
WA300134;15.01.2025;AR500134;100091;RATIO RECYCLING AG;20571,00;Werk Musterhausen
WA300135;30.01.2025;AR500135;100116;KRANICH MASCHINEN KG;41742,00;Werk Musterhausen
WA300136;01.01.2025;AR500136;100011;BOREAS BESCHICHTUNG E.K.;40425,00;Werk Musterhausen
WA300137;24.01.2025;AR500137;100017;HELIOS ETIKETTEN KG;47458,00;Werk Musterhausen
WA300138;07.01.2025;AR500138;100108;ATLAS MASCHINEN AG;31664,00;Werk Musterhausen
WA300139;19.01.2025;AR500139;100132;CORVUS CHEMIE KG;43513,00;Werk Musterhausen
WA300140;07.01.2025;AR500140;100127;TERRA TECHNIK KG;7981,00;Werk Musterhausen
WA300141;09.01.2025;AR500141;100024;KRANICH HANDEL GMBH;42968,00;Werk Musterhausen
WA300142;19.01.2025;AR500142;100087;SOLUM VERPACKUNG GMBH;21407,00;Werk Musterhausen
WA300143;19.01.2025;AR500143;100076;PACTUM LOGISTIK SE;16939,00;Werk Musterhausen
WA300144;10.01.2025;AR500144;100078;FALKE SYSTEME GMBH;22433,00;Werk Musterhausen
WA300145;28.01.2025;AR500145;100088;NOVA BESCHICHTUNG GMBH;49856,00;Werk Musterhausen
WA300146;07.01.2025;AR500146;100064;FALKE MASCHINEN GMBH;886,00;Werk Musterhausen
WA300147;24.01.2025;AR500147;100143;NOVA WERKSTOFFE KG;22846,00;Werk Musterhausen
WA300148;31.01.2025;AR500148;100037;PACTUM TECHNIK GMBH;53636,00;Werk Musterhausen
WA300149;26.01.2025;AR500149;100055;ADLER DRUCK KG;18396,00;Werk Musterhausen
WA300150;19.01.2025;AR500150;100037;PACTUM TECHNIK GMBH;38228,00;Werk Musterhausen
WA300151;21.01.2025;AR500151;100010;FOKUS TECHNIK GMBH;3521,00;Werk Musterhausen
WA300152;08.01.2025;AR500152;100146;ORION KARTON GMBH;32583,00;Werk Musterhausen
WA300153;19.01.2025;AR500153;100042;ADLER HANDEL GMBH;34082,00;Werk Musterhausen
WA300154;15.01.2025;AR500154;100117;ATLAS HANDEL E.K.;13164,00;Werk Musterhausen
WA300155;17.01.2025;AR500155;100124;MERKUR MASCHINEN KG;26927,00;Werk Musterhausen
WA300156;21.01.2025;AR500156;100021;HELIOS RECYCLING GMBH;44421,00;Werk Musterhausen
WA300157;08.01.2025;AR500157;100129;ALPHA PAPIER E.K.;38693,00;Werk Musterhausen
WA300158;13.01.2025;AR500158;100103;IRIS MASCHINEN AG;4907,00;Werk Musterhausen
WA300159;25.01.2025;AR500159;100009;TITAN TECHNIK GMBH;30158,00;Werk Musterhausen
WA300160;05.01.2025;AR500160;100091;RATIO RECYCLING AG;31773,00;Werk Musterhausen
WA300161;19.01.2025;AR500161;100099;VEGA CHEMIE KG;27069,00;Werk Musterhausen
WA300162;15.01.2025;AR500162;100134;SOLUM TRANSPORT E.K.;8268,00;Werk Musterhausen
WA300163;01.01.2025;AR500163;100098;PACTUM FOLIEN AG;35403,00;Werk Musterhausen
WA300164;24.01.2025;AR500164;100007;RATIO LOGISTIK GMBH;25774,00;Werk Musterhausen
WA300165;07.01.2025;AR500165;100072;IRIS LOGISTIK E.K.;43182,00;Werk Musterhausen
WA300166;27.01.2025;AR500166;100108;ATLAS MASCHINEN AG;45752,00;Werk Musterhausen
WA300167;15.01.2025;AR500167;100018;SOLUM RECYCLING AG;14018,00;Werk Musterhausen
WA300168;29.01.2025;AR500168;100069;HELIOS WERKSTOFFE GMBH;34001,00;Werk Musterhausen
WA300169;27.01.2025;AR500169;100054;CIVES ETIKETTEN SE;50585,00;Werk Musterhausen
WA300170;13.02.2025;AR500170;100037;PACTUM TECHNIK GMBH;6732,00;Werk Musterhausen
WA300171;02.02.2025;AR500171;100086;HELIOS FOLIEN GMBH & CO. KG;32241,00;Werk Musterhausen
WA300172;07.02.2025;AR500172;100032;OMEGA VERPACKUNG KG;21762,00;Werk Musterhausen
WA300173;02.02.2025;AR500173;100121;FALKE WERKSTOFFE GMBH;3858,00;Werk Musterhausen
WA300174;01.02.2025;AR500174;100079;CORVUS KARTON GMBH;39638,00;Werk Musterhausen
WA300175;14.02.2025;AR500175;100082;NORD PAPIER KG;32581,00;Werk Musterhausen
WA300176;13.02.2025;AR500176;100054;CIVES ETIKETTEN SE;19158,00;Werk Musterhausen
WA300177;25.02.2025;AR500177;100074;WEST LOGISTIK KG;7418,00;Werk Musterhausen
WA300178;15.02.2025;AR500178;100103;IRIS MASCHINEN AG;41196,00;Werk Musterhausen
WA300179;18.02.2025;AR500179;100102;CASTOR FORMTEILE GMBH;38873,00;Werk Musterhausen
WA300180;06.02.2025;AR500180;100146;ORION KARTON GMBH;662,00;Werk Musterhausen
WA300181;27.02.2025;AR500181;100104;NORD INDUSTRIEBEDARF GMBH;17719,00;Werk Musterhausen
WA300182;13.02.2025;AR500182;100117;ATLAS HANDEL E.K.;14050,00;Werk Musterhausen
WA300183;15.02.2025;AR500183;100077;KRANICH FORMTEILE E.K.;21656,00;Werk Musterhausen
WA300184;13.02.2025;AR500184;100138;ALPHA FOLIEN GMBH;23768,00;Werk Musterhausen
WA300185;19.02.2025;AR500185;100141;SOLUM TRANSPORT KG;23303,00;Werk Musterhausen
WA300186;18.02.2025;AR500186;100047;ADLER KARTON KG;16138,00;Werk Musterhausen
WA300187;26.02.2025;AR500187;100111;PACTUM RECYCLING E.K.;47576,00;Werk Musterhausen
WA300188;01.02.2025;AR500188;100058;VEGA ETIKETTEN GMBH & CO. KG;36413,00;Werk Musterhausen
WA300189;13.02.2025;AR500189;100018;SOLUM RECYCLING AG;49037,00;Werk Musterhausen
WA300190;17.02.2025;AR500190;100034;BOREAS PAPIER GMBH;8992,00;Werk Musterhausen
WA300191;25.02.2025;AR500191;100024;KRANICH HANDEL GMBH;28206,00;Werk Musterhausen
WA300192;04.02.2025;AR500192;100022;WEST INDUSTRIEBEDARF GMBH;13250,00;Werk Musterhausen
WA300193;11.02.2025;AR500193;100129;ALPHA PAPIER E.K.;32415,00;Werk Musterhausen
WA300194;17.02.2025;AR500194;100101;WEST KARTON GMBH;16856,00;Werk Musterhausen
WA300195;26.02.2025;AR500195;100058;VEGA ETIKETTEN GMBH & CO. KG;38346,00;Werk Musterhausen
WA300196;11.02.2025;AR500196;100042;ADLER HANDEL GMBH;50699,00;Werk Musterhausen
WA300197;07.02.2025;AR500197;100060;ATLAS FOLIEN GMBH & CO. KG;49319,00;Werk Musterhausen
WA300198;21.02.2025;AR500198;100082;NORD PAPIER KG;25065,00;Werk Musterhausen
WA300199;23.02.2025;AR500199;100041;PRISMA HANDEL E.K.;31021,00;Werk Musterhausen
WA300200;21.02.2025;AR500200;100108;ATLAS MASCHINEN AG;35999,00;Werk Musterhausen
WA300201;01.02.2025;AR500201;100122;FOKUS SYSTEME GMBH;26023,00;Werk Musterhausen
WA300202;12.02.2025;AR500202;100078;FALKE SYSTEME GMBH;7535,00;Werk Musterhausen
WA300203;28.02.2025;AR500203;100084;FOKUS LOGISTIK AG;2373,00;Werk Musterhausen
WA300204;11.02.2025;AR500204;100088;NOVA BESCHICHTUNG GMBH;35008,00;Werk Musterhausen
WA300205;26.02.2025;AR500205;100091;RATIO RECYCLING AG;12166,00;Werk Musterhausen
WA300206;01.02.2025;AR500206;100082;NORD PAPIER KG;1540,00;Werk Musterhausen
WA300207;06.02.2025;AR500207;100132;CORVUS CHEMIE KG;52254,00;Werk Musterhausen
WA300208;14.02.2025;AR500208;100107;CASTOR VERPACKUNG AG;54718,00;Werk Musterhausen
WA300209;07.02.2025;AR500209;100055;ADLER DRUCK KG;35178,00;Werk Musterhausen
WA300210;08.02.2025;AR500210;100082;NORD PAPIER KG;15354,00;Werk Musterhausen
WA300211;16.02.2025;AR500211;100030;PRISMA ETIKETTEN AG;50435,00;Werk Musterhausen
WA300212;06.02.2025;AR500212;100082;NORD PAPIER KG;29421,00;Werk Musterhausen
WA300213;18.02.2025;AR500213;100073;KRANICH MASCHINEN AG;25401,00;Werk Musterhausen
WA300214;17.02.2025;AR500214;100127;TERRA TECHNIK KG;45383,00;Werk Musterhausen
WA300215;03.02.2025;AR500215;100021;HELIOS RECYCLING GMBH;14829,00;Werk Musterhausen
WA300216;15.02.2025;AR500216;100108;ATLAS MASCHINEN AG;28603,00;Werk Musterhausen
WA300217;28.02.2025;AR500217;100023;OST PAPIER SE;16014,00;Werk Musterhausen
WA300218;04.02.2025;AR500218;100065;ATLAS ETIKETTEN E.K.;19979,00;Werk Musterhausen
WA300219;27.02.2025;AR500219;100039;IRIS TECHNIK GMBH;21235,00;Werk Musterhausen
WA300220;14.02.2025;AR500220;100099;VEGA CHEMIE KG;40757,00;Werk Musterhausen
WA300221;09.02.2025;AR500221;100133;ADLER FORMTEILE GMBH & CO. KG;20131,00;Werk Musterhausen
WA300222;10.02.2025;AR500222;100145;ATLAS RECYCLING SE;42624,00;Werk Musterhausen
WA300223;23.02.2025;AR500223;100111;PACTUM RECYCLING E.K.;44155,00;Werk Musterhausen
WA300224;22.02.2025;AR500224;100142;NOVA RECYCLING SE;20952,00;Werk Musterhausen
WA300225;21.02.2025;AR500225;100022;WEST INDUSTRIEBEDARF GMBH;12090,00;Werk Musterhausen
WA300226;01.02.2025;AR500226;100085;WEST LOGISTIK GMBH;15920,00;Werk Musterhausen
WA300227;22.02.2025;AR500227;100002;FOKUS DRUCK SE;48655,00;Werk Musterhausen
WA300228;28.02.2025;AR500228;100109;SOLUM KARTON GMBH & CO. KG;46949,00;Werk Musterhausen
WA300229;18.02.2025;AR500229;100051;PACTUM DISTRIBUTION KG;7514,00;Werk Musterhausen
WA300230;12.02.2025;AR500230;100019;POLLUX SYSTEME GMBH;42909,00;Werk Musterhausen
WA300231;15.02.2025;AR500231;100141;SOLUM TRANSPORT KG;23463,00;Werk Musterhausen
WA300232;11.02.2025;AR500232;100055;ADLER DRUCK KG;15783,00;Werk Musterhausen
WA300233;05.02.2025;AR500233;100128;RATIO INDUSTRIEBEDARF AG;25690,00;Werk Musterhausen
WA300234;25.02.2025;AR500234;100029;PRISMA WERKSTOFFE SE;24654,00;Werk Musterhausen
WA300235;11.02.2025;AR500235;100070;ADLER DRUCK GMBH;43641,00;Werk Musterhausen
WA300236;03.02.2025;AR500236;100044;VEGA FORMTEILE GMBH;48959,00;Werk Musterhausen
WA300237;02.02.2025;AR500237;100057;CORVUS FORMTEILE GMBH;33426,00;Werk Musterhausen
WA300238;02.02.2025;AR500238;100133;ADLER FORMTEILE GMBH & CO. KG;40065,00;Werk Musterhausen
WA300239;03.02.2025;AR500239;100011;BOREAS BESCHICHTUNG E.K.;41655,00;Werk Musterhausen
WA300240;17.02.2025;AR500240;100078;FALKE SYSTEME GMBH;33111,00;Werk Musterhausen
WA300241;12.02.2025;AR500241;100153;KRONOS INDUSTRIEBEDARF E.K.;5171,00;Werk Musterhausen
WA300242;19.02.2025;AR500242;100052;ORION TRANSPORT GMBH;41667,00;Werk Musterhausen
WA300243;13.02.2025;AR500243;100093;TERRA RECYCLING GMBH;30680,00;Werk Musterhausen
WA300244;09.02.2025;AR500244;100063;MERKUR DRUCK SE;32610,00;Werk Musterhausen
WA300245;19.02.2025;AR500245;100008;FALKE CHEMIE KG;38953,00;Werk Musterhausen
WA300246;11.02.2025;AR500246;100065;ATLAS ETIKETTEN E.K.;29567,00;Werk Musterhausen
WA300247;25.02.2025;AR500247;100139;RATIO BESCHICHTUNG KG;16489,00;Werk Musterhausen
WA300248;05.02.2025;AR500248;100010;FOKUS TECHNIK GMBH;12037,00;Werk Musterhausen
WA300249;14.02.2025;AR500249;100005;CORVUS HANDEL KG;9958,00;Werk Musterhausen
WA300250;12.02.2025;AR500250;100147;NOVA BESCHICHTUNG KG;13229,00;Werk Musterhausen
WA300251;22.02.2025;AR500251;100045;HELIOS DRUCK GMBH;10814,00;Werk Musterhausen
WA300252;10.02.2025;AR500252;100051;PACTUM DISTRIBUTION KG;13263,00;Werk Musterhausen
WA300253;12.02.2025;AR500253;100107;CASTOR VERPACKUNG AG;23231,00;Werk Musterhausen
WA300254;20.02.2025;AR500254;100019;POLLUX SYSTEME GMBH;27812,00;Werk Musterhausen
WA300255;07.02.2025;AR500255;100045;HELIOS DRUCK GMBH;8678,00;Werk Musterhausen
WA300256;15.02.2025;AR500256;100111;PACTUM RECYCLING E.K.;31618,00;Werk Musterhausen
WA300257;17.02.2025;AR500257;100133;ADLER FORMTEILE GMBH & CO. KG;21113,00;Werk Musterhausen
WA300258;20.02.2025;AR500258;100110;RATIO RECYCLING E.K.;26786,00;Werk Musterhausen
WA300259;07.02.2025;AR500259;100153;KRONOS INDUSTRIEBEDARF E.K.;5174,00;Werk Musterhausen
WA300260;08.02.2025;AR500260;100118;LUPUS PAPIER GMBH;22007,00;Werk Musterhausen
WA300261;04.02.2025;AR500261;100061;TERRA KARTON E.K.;54514,00;Werk Musterhausen
WA300262;10.02.2025;AR500262;100067;NOVA DRUCK GMBH;10434,00;Werk Musterhausen
WA300263;19.02.2025;AR500263;100064;FALKE MASCHINEN GMBH;36045,00;Werk Musterhausen
WA300264;20.02.2025;AR500264;100147;NOVA BESCHICHTUNG KG;42248,00;Werk Musterhausen
WA300265;24.02.2025;AR500265;100096;ALPHA SYSTEME E.K.;41494,00;Werk Musterhausen
WA300266;03.02.2025;AR500266;100011;BOREAS BESCHICHTUNG E.K.;8755,00;Werk Musterhausen
WA300267;26.02.2025;AR500267;100013;NOVA FORMTEILE GMBH;43932,00;Werk Musterhausen
WA300268;25.02.2025;AR500268;100029;PRISMA WERKSTOFFE SE;11356,00;Werk Musterhausen
WA300269;10.02.2025;AR500269;100023;OST PAPIER SE;40658,00;Werk Musterhausen
WA300270;22.02.2025;AR500270;100016;MERKUR WERKSTOFFE SE;51739,00;Werk Musterhausen
WA300271;19.02.2025;AR500271;100048;ATLAS ETIKETTEN GMBH & CO. KG;48825,00;Werk Musterhausen
