RECHNUNGSNUMMER;ART;DEBITOR;DEBITORNAME;FAKTURADATUM;LEISTUNGSDATUM;BETRAG_EUR;WAEHRUNG;BEMERKUNG
AR500045;Rechnung;100049;OST KARTON AG;09.01.2025;09.01.2025;41476,00;EUR;
AR500046;Rechnung;100108;ATLAS MASCHINEN AG;28.01.2025;28.01.2025;5735,00;EUR;
AR500047;Rechnung;100104;NORD INDUSTRIEBEDARF GMBH;11.01.2025;11.01.2025;48283,00;EUR;
AR500048;Rechnung;100044;VEGA FORMTEILE GMBH;12.01.2025;12.01.2025;4014,00;EUR;
AR500049;Rechnung;100087;SOLUM VERPACKUNG GMBH;26.01.2025;26.01.2025;8003,00;EUR;
AR500050;Rechnung;100141;SOLUM TRANSPORT KG;28.01.2025;28.01.2025;52081,00;EUR;
AR500051;Rechnung;100021;HELIOS RECYCLING GMBH;14.01.2025;14.01.2025;35709,00;EUR;
AR500052;Rechnung;100069;HELIOS WERKSTOFFE GMBH;25.01.2025;25.01.2025;3185,00;EUR;
AR500053;Rechnung;100002;FOKUS DRUCK SE;07.01.2025;07.01.2025;48142,00;EUR;
AR500054;Rechnung;100134;SOLUM TRANSPORT E.K.;26.01.2025;26.01.2025;46558,00;EUR;
AR500055;Rechnung;100039;IRIS TECHNIK GMBH;12.01.2025;12.01.2025;48227,00;EUR;
AR500056;Rechnung;100016;MERKUR WERKSTOFFE SE;04.01.2025;04.01.2025;19992,00;EUR;
AR500057;Rechnung;100058;VEGA ETIKETTEN GMBH & CO. KG;22.01.2025;22.01.2025;41234,00;EUR;
AR500058;Rechnung;100110;RATIO RECYCLING E.K.;11.01.2025;11.01.2025;616,00;EUR;
AR500059;Rechnung;100046;SÜD KUNSTSTOFF KG;21.01.2025;21.01.2025;38125,00;EUR;
AR500060;Rechnung;100138;ALPHA FOLIEN GMBH;22.01.2025;22.01.2025;27939,00;EUR;
AR500061;Rechnung;100059;FOKUS RECYCLING GMBH & CO. KG;23.01.2025;23.01.2025;39699,00;EUR;
AR500062;Rechnung;100014;ALPHA HANDEL GMBH;24.01.2025;24.01.2025;8167,00;EUR;
AR500063;Rechnung;100001;FOKUS KUNSTSTOFF GMBH;22.01.2025;22.01.2025;20938,00;EUR;
AR500064;Rechnung;100156;KRANICH PAPIER GMBH & CO. KG;23.01.2025;23.01.2025;22535,00;EUR;
AR500065;Rechnung;100034;BOREAS PAPIER GMBH;25.01.2025;25.01.2025;34555,00;EUR;
AR500066;Rechnung;100065;ATLAS ETIKETTEN E.K.;05.01.2025;05.01.2025;9504,00;EUR;
AR500067;Rechnung;100038;SATURN MASCHINEN GMBH;10.01.2025;10.01.2025;52661,00;EUR;
AR500068;Rechnung;100152;NORD WERKSTOFFE GMBH;30.01.2025;30.01.2025;12819,00;EUR;
AR500069;Rechnung;100069;HELIOS WERKSTOFFE GMBH;02.01.2025;02.01.2025;41919,00;EUR;
AR500070;Rechnung;100138;ALPHA FOLIEN GMBH;08.01.2025;08.01.2025;19942,00;EUR;
AR500071;Rechnung;100125;AURORA HANDEL GMBH;10.01.2025;10.01.2025;51268,00;EUR;
AR500072;Rechnung;100135;PACTUM KARTON E.K.;30.01.2025;30.01.2025;45009,00;EUR;
AR500073;Rechnung;100043;DELTA BESCHICHTUNG GMBH & CO. KG;28.01.2025;28.01.2025;3047,00;EUR;
AR500074;Rechnung;100076;PACTUM LOGISTIK SE;01.01.2025;01.01.2025;14589,00;EUR;
AR500075;Rechnung;100065;ATLAS ETIKETTEN E.K.;21.01.2025;21.01.2025;10579,00;EUR;
AR500076;Rechnung;100010;FOKUS TECHNIK GMBH;24.01.2025;24.01.2025;13431,00;EUR;
AR500077;Rechnung;100128;RATIO INDUSTRIEBEDARF AG;20.01.2025;20.01.2025;27074,00;EUR;
AR500078;Rechnung;100158;WEST SYSTEME AG;29.01.2025;29.01.2025;33761,00;EUR;
AR500079;Rechnung;100055;ADLER DRUCK KG;17.01.2025;17.01.2025;28512,00;EUR;
AR500080;Rechnung;100019;POLLUX SYSTEME GMBH;18.01.2025;18.01.2025;21010,00;EUR;
AR500081;Rechnung;100055;ADLER DRUCK KG;19.01.2025;19.01.2025;50691,00;EUR;
AR500082;Rechnung;100047;ADLER KARTON KG;09.01.2025;09.01.2025;12303,00;EUR;
AR500083;Rechnung;100149;RATIO DISTRIBUTION GMBH;17.01.2025;17.01.2025;28059,00;EUR;
AR500084;Rechnung;100128;RATIO INDUSTRIEBEDARF AG;21.01.2025;21.01.2025;4338,00;EUR;
AR500085;Rechnung;100103;IRIS MASCHINEN AG;24.01.2025;24.01.2025;54868,00;EUR;
AR500086;Rechnung;100031;RATIO PAPIER KG;29.01.2025;29.01.2025;39126,00;EUR;
AR500087;Rechnung;100004;PRISMA SYSTEME AG;14.01.2025;14.01.2025;42061,00;EUR;
AR500088;Rechnung;100081;ADLER RECYCLING GMBH;09.01.2025;09.01.2025;38332,00;EUR;
AR500089;Rechnung;100120;WEST TECHNIK SE;07.01.2025;07.01.2025;10114,00;EUR;
AR500090;Rechnung;100102;CASTOR FORMTEILE GMBH;26.01.2025;26.01.2025;51057,00;EUR;
AR500091;Rechnung;100055;ADLER DRUCK KG;30.01.2025;30.01.2025;44829,00;EUR;
AR500092;Rechnung;100072;IRIS LOGISTIK E.K.;31.01.2025;31.01.2025;22704,00;EUR;
AR500093;Rechnung;100143;NOVA WERKSTOFFE KG;07.01.2025;07.01.2025;19637,00;EUR;
AR500094;Rechnung;100121;FALKE WERKSTOFFE GMBH;25.01.2025;25.01.2025;11053,00;EUR;
AR500095;Rechnung;100141;SOLUM TRANSPORT KG;23.01.2025;23.01.2025;34805,00;EUR;
AR500096;Rechnung;100066;SOLUM PAPIER GMBH;16.01.2025;16.01.2025;50314,00;EUR;
AR500097;Rechnung;100098;PACTUM FOLIEN AG;01.01.2025;01.01.2025;29899,00;EUR;
AR500098;Rechnung;100143;NOVA WERKSTOFFE KG;24.01.2025;24.01.2025;8953,00;EUR;
AR500099;Rechnung;100093;TERRA RECYCLING GMBH;20.01.2025;20.01.2025;45679,00;EUR;
AR500100;Rechnung;100030;PRISMA ETIKETTEN AG;04.01.2025;04.01.2025;51199,00;EUR;
AR500101;Rechnung;100053;REIHER LOGISTIK GMBH;11.01.2025;11.01.2025;16236,00;EUR;
AR500102;Rechnung;100117;ATLAS HANDEL E.K.;22.01.2025;22.01.2025;29650,00;EUR;
AR500103;Rechnung;100012;ATLAS FORMTEILE SE;18.01.2025;18.01.2025;3347,00;EUR;
AR500104;Rechnung;100096;ALPHA SYSTEME E.K.;08.01.2025;08.01.2025;20828,00;EUR;
AR500105;Rechnung;100020;ADLER TRANSPORT GMBH;05.01.2025;05.01.2025;34890,00;EUR;
AR500106;Rechnung;100056;NORD WERKSTOFFE SE;25.01.2025;25.01.2025;14453,00;EUR;
AR500107;Rechnung;100150;SÜD RECYCLING GMBH;18.01.2025;18.01.2025;25412,00;EUR;
AR500108;Rechnung;100077;KRANICH FORMTEILE E.K.;06.01.2025;06.01.2025;54866,00;EUR;
AR500109;Rechnung;100051;PACTUM DISTRIBUTION KG;28.01.2025;28.01.2025;12105,00;EUR;
AR500110;Rechnung;100047;ADLER KARTON KG;31.01.2025;31.01.2025;31276,00;EUR;
AR500111;Rechnung;100105;WEST SYSTEME GMBH & CO. KG;08.01.2025;08.01.2025;39132,00;EUR;
AR500112;Rechnung;100107;CASTOR VERPACKUNG AG;31.01.2025;31.01.2025;2946,00;EUR;
AR500113;Rechnung;100060;ATLAS FOLIEN GMBH & CO. KG;18.01.2025;18.01.2025;36057,00;EUR;
AR500114;Rechnung;100016;MERKUR WERKSTOFFE SE;23.01.2025;23.01.2025;31076,00;EUR;
AR500115;Rechnung;100118;LUPUS PAPIER GMBH;29.01.2025;29.01.2025;39933,00;EUR;
AR500116;Rechnung;100028;VEGA FOLIEN GMBH;31.01.2025;31.01.2025;52075,00;EUR;
AR500117;Rechnung;100096;ALPHA SYSTEME E.K.;08.01.2025;08.01.2025;44846,00;EUR;
AR500118;Rechnung;100109;SOLUM KARTON GMBH & CO. KG;17.01.2025;17.01.2025;44232,00;EUR;
AR500119;Rechnung;100108;ATLAS MASCHINEN AG;19.01.2025;19.01.2025;20111,00;EUR;
AR500120;Rechnung;100041;PRISMA HANDEL E.K.;01.01.2025;01.01.2025;47965,00;EUR;
AR500121;Rechnung;100122;FOKUS SYSTEME GMBH;10.01.2025;10.01.2025;32452,00;EUR;
AR500122;Rechnung;100002;FOKUS DRUCK SE;15.01.2025;15.01.2025;54397,00;EUR;
AR500123;Rechnung;100002;FOKUS DRUCK SE;02.01.2025;02.01.2025;47681,00;EUR;
AR500124;Rechnung;100052;ORION TRANSPORT GMBH;30.01.2025;30.01.2025;54076,00;EUR;
AR500125;Rechnung;100133;ADLER FORMTEILE GMBH & CO. KG;13.01.2025;13.01.2025;18531,00;EUR;
AR500126;Rechnung;100153;KRONOS INDUSTRIEBEDARF E.K.;16.01.2025;16.01.2025;40890,00;EUR;
AR500127;Rechnung;100031;RATIO PAPIER KG;24.01.2025;24.01.2025;8954,00;EUR;
AR500128;Rechnung;100001;FOKUS KUNSTSTOFF GMBH;01.01.2025;01.01.2025;2807,00;EUR;
AR500129;Rechnung;100102;CASTOR FORMTEILE GMBH;21.01.2025;21.01.2025;38586,00;EUR;
AR500130;Rechnung;100123;SÜD CHEMIE GMBH & CO. KG;18.01.2025;18.01.2025;7270,00;EUR;
AR500131;Rechnung;100122;FOKUS SYSTEME GMBH;21.01.2025;21.01.2025;18356,00;EUR;
AR500132;Rechnung;100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;12.01.2025;12.01.2025;49716,00;EUR;
AR500133;Rechnung;100026;IRIS KUNSTSTOFF E.K.;16.01.2025;16.01.2025;26641,00;EUR;
AR500134;Rechnung;100091;RATIO RECYCLING AG;15.01.2025;15.01.2025;20571,00;EUR;
AR500135;Rechnung;100116;KRANICH MASCHINEN KG;30.01.2025;30.01.2025;41742,00;EUR;
AR500136;Rechnung;100011;BOREAS BESCHICHTUNG E.K.;01.01.2025;01.01.2025;40425,00;EUR;
AR500137;Rechnung;100017;HELIOS ETIKETTEN KG;24.01.2025;24.01.2025;47458,00;EUR;
AR500138;Rechnung;100108;ATLAS MASCHINEN AG;07.01.2025;07.01.2025;31664,00;EUR;
AR500139;Rechnung;100132;CORVUS CHEMIE KG;19.01.2025;19.01.2025;43513,00;EUR;
AR500140;Rechnung;100127;TERRA TECHNIK KG;07.01.2025;07.01.2025;7981,00;EUR;
AR500141;Rechnung;100024;KRANICH HANDEL GMBH;09.01.2025;09.01.2025;42968,00;EUR;
AR500142;Rechnung;100087;SOLUM VERPACKUNG GMBH;19.01.2025;19.01.2025;21407,00;EUR;
AR500143;Rechnung;100076;PACTUM LOGISTIK SE;19.01.2025;19.01.2025;16939,00;EUR;
AR500144;Rechnung;100078;FALKE SYSTEME GMBH;10.01.2025;10.01.2025;22433,00;EUR;
AR500145;Rechnung;100088;NOVA BESCHICHTUNG GMBH;28.01.2025;28.01.2025;49856,00;EUR;
AR500146;Rechnung;100064;FALKE MASCHINEN GMBH;07.01.2025;07.01.2025;886,00;EUR;
AR500147;Rechnung;100143;NOVA WERKSTOFFE KG;24.01.2025;24.01.2025;22846,00;EUR;
AR500148;Rechnung;100037;PACTUM TECHNIK GMBH;31.01.2025;31.01.2025;53636,00;EUR;
AR500149;Rechnung;100055;ADLER DRUCK KG;26.01.2025;26.01.2025;18396,00;EUR;
AR500150;Rechnung;100037;PACTUM TECHNIK GMBH;19.01.2025;19.01.2025;38228,00;EUR;
AR500151;Rechnung;100010;FOKUS TECHNIK GMBH;21.01.2025;21.01.2025;3521,00;EUR;
AR500152;Rechnung;100146;ORION KARTON GMBH;08.01.2025;08.01.2025;32583,00;EUR;
AR500153;Rechnung;100042;ADLER HANDEL GMBH;19.01.2025;19.01.2025;34082,00;EUR;
AR500154;Rechnung;100117;ATLAS HANDEL E.K.;15.01.2025;15.01.2025;13164,00;EUR;
AR500155;Rechnung;100124;MERKUR MASCHINEN KG;17.01.2025;17.01.2025;26927,00;EUR;
AR500156;Rechnung;100021;HELIOS RECYCLING GMBH;21.01.2025;21.01.2025;44421,00;EUR;
AR500157;Rechnung;100129;ALPHA PAPIER E.K.;08.01.2025;08.01.2025;38693,00;EUR;
AR500158;Rechnung;100103;IRIS MASCHINEN AG;13.01.2025;13.01.2025;4907,00;EUR;
AR500159;Rechnung;100009;TITAN TECHNIK GMBH;25.01.2025;25.01.2025;30158,00;EUR;
AR500160;Rechnung;100091;RATIO RECYCLING AG;05.01.2025;05.01.2025;31773,00;EUR;
AR500161;Rechnung;100099;VEGA CHEMIE KG;19.01.2025;19.01.2025;27069,00;EUR;
AR500162;Rechnung;100134;SOLUM TRANSPORT E.K.;15.01.2025;15.01.2025;8268,00;EUR;
AR500163;Rechnung;100098;PACTUM FOLIEN AG;01.01.2025;01.01.2025;35403,00;EUR;
AR500164;Rechnung;100007;RATIO LOGISTIK GMBH;24.01.2025;24.01.2025;25774,00;EUR;
AR500165;Rechnung;100072;IRIS LOGISTIK E.K.;07.01.2025;07.01.2025;43182,00;EUR;
AR500166;Rechnung;100108;ATLAS MASCHINEN AG;27.01.2025;27.01.2025;45752,00;EUR;
AR500167;Rechnung;100018;SOLUM RECYCLING AG;15.01.2025;15.01.2025;14018,00;EUR;
AR500168;Rechnung;100069;HELIOS WERKSTOFFE GMBH;29.01.2025;29.01.2025;34001,00;EUR;
AR500169;Rechnung;100054;CIVES ETIKETTEN SE;27.01.2025;27.01.2025;50585,00;EUR;
AR500170;Rechnung;100037;PACTUM TECHNIK GMBH;13.02.2025;13.02.2025;6732,00;EUR;
AR500171;Rechnung;100086;HELIOS FOLIEN GMBH & CO. KG;02.02.2025;02.02.2025;32241,00;EUR;
AR500172;Rechnung;100032;OMEGA VERPACKUNG KG;07.02.2025;07.02.2025;21762,00;EUR;
AR500173;Rechnung;100121;FALKE WERKSTOFFE GMBH;02.02.2025;02.02.2025;3858,00;EUR;
AR500174;Rechnung;100079;CORVUS KARTON GMBH;01.02.2025;01.02.2025;39638,00;EUR;
AR500175;Rechnung;100082;NORD PAPIER KG;14.02.2025;14.02.2025;32581,00;EUR;
AR500176;Rechnung;100054;CIVES ETIKETTEN SE;13.02.2025;13.02.2025;19158,00;EUR;
AR500177;Rechnung;100074;WEST LOGISTIK KG;25.02.2025;25.02.2025;7418,00;EUR;
AR500178;Rechnung;100103;IRIS MASCHINEN AG;15.02.2025;15.02.2025;41196,00;EUR;
AR500179;Rechnung;100102;CASTOR FORMTEILE GMBH;18.02.2025;18.02.2025;38873,00;EUR;
AR500180;Rechnung;100146;ORION KARTON GMBH;06.02.2025;06.02.2025;662,00;EUR;
AR500181;Rechnung;100104;NORD INDUSTRIEBEDARF GMBH;27.02.2025;27.02.2025;17719,00;EUR;
AR500182;Rechnung;100117;ATLAS HANDEL E.K.;13.02.2025;13.02.2025;14050,00;EUR;
AR500183;Rechnung;100077;KRANICH FORMTEILE E.K.;15.02.2025;15.02.2025;21656,00;EUR;
AR500184;Rechnung;100138;ALPHA FOLIEN GMBH;13.02.2025;13.02.2025;23768,00;EUR;
AR500185;Rechnung;100141;SOLUM TRANSPORT KG;19.02.2025;19.02.2025;23303,00;EUR;
AR500186;Rechnung;100047;ADLER KARTON KG;18.02.2025;18.02.2025;16138,00;EUR;
AR500187;Rechnung;100111;PACTUM RECYCLING E.K.;26.02.2025;26.02.2025;47576,00;EUR;
AR500188;Rechnung;100058;VEGA ETIKETTEN GMBH & CO. KG;01.02.2025;01.02.2025;36413,00;EUR;
AR500189;Rechnung;100018;SOLUM RECYCLING AG;13.02.2025;13.02.2025;49037,00;EUR;
AR500190;Rechnung;100034;BOREAS PAPIER GMBH;17.02.2025;17.02.2025;8992,00;EUR;
AR500191;Rechnung;100024;KRANICH HANDEL GMBH;25.02.2025;25.02.2025;28206,00;EUR;
AR500192;Rechnung;100022;WEST INDUSTRIEBEDARF GMBH;04.02.2025;04.02.2025;13250,00;EUR;
AR500193;Rechnung;100129;ALPHA PAPIER E.K.;11.02.2025;11.02.2025;32415,00;EUR;
AR500194;Rechnung;100101;WEST KARTON GMBH;17.02.2025;17.02.2025;16856,00;EUR;
AR500195;Rechnung;100058;VEGA ETIKETTEN GMBH & CO. KG;26.02.2025;26.02.2025;38346,00;EUR;
AR500196;Rechnung;100042;ADLER HANDEL GMBH;11.02.2025;11.02.2025;50699,00;EUR;
AR500197;Rechnung;100060;ATLAS FOLIEN GMBH & CO. KG;07.02.2025;07.02.2025;49319,00;EUR;
AR500198;Rechnung;100082;NORD PAPIER KG;21.02.2025;21.02.2025;25065,00;EUR;
AR500199;Rechnung;100041;PRISMA HANDEL E.K.;23.02.2025;23.02.2025;31021,00;EUR;
AR500200;Rechnung;100108;ATLAS MASCHINEN AG;21.02.2025;21.02.2025;35999,00;EUR;
AR500201;Rechnung;100122;FOKUS SYSTEME GMBH;01.02.2025;01.02.2025;26023,00;EUR;
AR500202;Rechnung;100078;FALKE SYSTEME GMBH;12.02.2025;12.02.2025;7535,00;EUR;
AR500203;Rechnung;100084;FOKUS LOGISTIK AG;28.02.2025;28.02.2025;2373,00;EUR;
AR500204;Rechnung;100088;NOVA BESCHICHTUNG GMBH;11.02.2025;11.02.2025;35008,00;EUR;
AR500205;Rechnung;100091;RATIO RECYCLING AG;26.02.2025;26.02.2025;12166,00;EUR;
AR500206;Rechnung;100082;NORD PAPIER KG;01.02.2025;01.02.2025;1540,00;EUR;
AR500207;Rechnung;100132;CORVUS CHEMIE KG;06.02.2025;06.02.2025;52254,00;EUR;
AR500208;Rechnung;100107;CASTOR VERPACKUNG AG;14.02.2025;14.02.2025;54718,00;EUR;
AR500209;Rechnung;100055;ADLER DRUCK KG;07.02.2025;07.02.2025;35178,00;EUR;
AR500210;Rechnung;100082;NORD PAPIER KG;08.02.2025;08.02.2025;15354,00;EUR;
AR500211;Rechnung;100030;PRISMA ETIKETTEN AG;16.02.2025;16.02.2025;50435,00;EUR;
AR500212;Rechnung;100082;NORD PAPIER KG;06.02.2025;06.02.2025;29421,00;EUR;
AR500213;Rechnung;100073;KRANICH MASCHINEN AG;18.02.2025;18.02.2025;25401,00;EUR;
AR500214;Rechnung;100127;TERRA TECHNIK KG;17.02.2025;17.02.2025;45383,00;EUR;
AR500215;Rechnung;100021;HELIOS RECYCLING GMBH;03.02.2025;03.02.2025;14829,00;EUR;
AR500216;Rechnung;100108;ATLAS MASCHINEN AG;15.02.2025;15.02.2025;28603,00;EUR;
AR500217;Rechnung;100023;OST PAPIER SE;28.02.2025;28.02.2025;16014,00;EUR;
AR500218;Rechnung;100065;ATLAS ETIKETTEN E.K.;04.02.2025;04.02.2025;19979,00;EUR;
AR500219;Rechnung;100039;IRIS TECHNIK GMBH;27.02.2025;27.02.2025;21235,00;EUR;
AR500220;Rechnung;100099;VEGA CHEMIE KG;14.02.2025;14.02.2025;40757,00;EUR;
AR500221;Rechnung;100133;ADLER FORMTEILE GMBH & CO. KG;09.02.2025;09.02.2025;20131,00;EUR;
AR500222;Rechnung;100145;ATLAS RECYCLING SE;10.02.2025;10.02.2025;42624,00;EUR;
AR500223;Rechnung;100111;PACTUM RECYCLING E.K.;23.02.2025;23.02.2025;44155,00;EUR;
AR500224;Rechnung;100142;NOVA RECYCLING SE;22.02.2025;22.02.2025;20952,00;EUR;
AR500225;Rechnung;100022;WEST INDUSTRIEBEDARF GMBH;21.02.2025;21.02.2025;12090,00;EUR;
AR500226;Rechnung;100085;WEST LOGISTIK GMBH;01.02.2025;01.02.2025;15920,00;EUR;
AR500227;Rechnung;100002;FOKUS DRUCK SE;22.02.2025;22.02.2025;48655,00;EUR;
AR500228;Rechnung;100109;SOLUM KARTON GMBH & CO. KG;28.02.2025;28.02.2025;46949,00;EUR;
AR500229;Rechnung;100051;PACTUM DISTRIBUTION KG;18.02.2025;18.02.2025;7514,00;EUR;
AR500230;Rechnung;100019;POLLUX SYSTEME GMBH;12.02.2025;12.02.2025;42909,00;EUR;
AR500231;Rechnung;100141;SOLUM TRANSPORT KG;15.02.2025;15.02.2025;23463,00;EUR;
AR500232;Rechnung;100055;ADLER DRUCK KG;11.02.2025;11.02.2025;15783,00;EUR;
AR500233;Rechnung;100128;RATIO INDUSTRIEBEDARF AG;05.02.2025;05.02.2025;25690,00;EUR;
AR500234;Rechnung;100029;PRISMA WERKSTOFFE SE;25.02.2025;25.02.2025;24654,00;EUR;
AR500235;Rechnung;100070;ADLER DRUCK GMBH;11.02.2025;11.02.2025;43641,00;EUR;
AR500236;Rechnung;100044;VEGA FORMTEILE GMBH;03.02.2025;03.02.2025;48959,00;EUR;
AR500237;Rechnung;100057;CORVUS FORMTEILE GMBH;02.02.2025;02.02.2025;33426,00;EUR;
AR500238;Rechnung;100133;ADLER FORMTEILE GMBH & CO. KG;02.02.2025;02.02.2025;40065,00;EUR;
AR500239;Rechnung;100011;BOREAS BESCHICHTUNG E.K.;03.02.2025;03.02.2025;41655,00;EUR;
AR500240;Rechnung;100078;FALKE SYSTEME GMBH;17.02.2025;17.02.2025;33111,00;EUR;
AR500241;Rechnung;100153;KRONOS INDUSTRIEBEDARF E.K.;12.02.2025;12.02.2025;5171,00;EUR;
AR500242;Rechnung;100052;ORION TRANSPORT GMBH;19.02.2025;19.02.2025;41667,00;EUR;
AR500243;Rechnung;100093;TERRA RECYCLING GMBH;13.02.2025;13.02.2025;30680,00;EUR;
AR500244;Rechnung;100063;MERKUR DRUCK SE;09.02.2025;09.02.2025;32610,00;EUR;
AR500245;Rechnung;100008;FALKE CHEMIE KG;19.02.2025;19.02.2025;38953,00;EUR;
AR500246;Rechnung;100065;ATLAS ETIKETTEN E.K.;11.02.2025;11.02.2025;29567,00;EUR;
AR500247;Rechnung;100139;RATIO BESCHICHTUNG KG;25.02.2025;25.02.2025;16489,00;EUR;
AR500248;Rechnung;100010;FOKUS TECHNIK GMBH;05.02.2025;05.02.2025;12037,00;EUR;
AR500249;Rechnung;100005;CORVUS HANDEL KG;14.02.2025;14.02.2025;9958,00;EUR;
AR500250;Rechnung;100147;NOVA BESCHICHTUNG KG;12.02.2025;12.02.2025;13229,00;EUR;
AR500251;Rechnung;100045;HELIOS DRUCK GMBH;22.02.2025;22.02.2025;10814,00;EUR;
AR500252;Rechnung;100051;PACTUM DISTRIBUTION KG;10.02.2025;10.02.2025;13263,00;EUR;
AR500253;Rechnung;100107;CASTOR VERPACKUNG AG;12.02.2025;12.02.2025;23231,00;EUR;
AR500254;Rechnung;100019;POLLUX SYSTEME GMBH;20.02.2025;20.02.2025;27812,00;EUR;
AR500255;Rechnung;100045;HELIOS DRUCK GMBH;07.02.2025;07.02.2025;8678,00;EUR;
